coverage,balanced_error,worst_error
0.0099,0.5,1.0
0.0198,0.5,1.0
0.0297,0.5017006802721089,1.0
0.0396,0.5025641025641026,1.0
0.0495,0.5031120331950207,1.0
0.0594,0.3053191489361702,0.6
0.0693,0.2205651491365777,0.4285714285714286
0.0792,0.1791686200968901,0.345679012345679
0.0891,0.1737451737451738,0.33333333333333337
0.099,0.18549030029231994,0.352112676056338
0.1089,0.20876358278592916,0.3966480446927374
0.1188,0.21992404323692666,0.41428571428571426
0.1287,0.23611995094538796,0.4395161290322581
0.1386,0.22597710453283998,0.4184397163120568
0.1485,0.22283272283272282,0.40634920634920635
0.1584,0.2401143790849673,0.4361111111111111
0.1683,0.24592074592074592,0.4444444444444444
0.1782,0.2460104746407034,0.44009216589861755
0.1881,0.24900072674418605,0.43763213530655387
0.198,0.24921568914780212,0.4344422700587084
0.2079,0.2537063739417147,0.4373865698729582
0.2178,0.2576160921100637,0.4412751677852349
0.2277,0.2627722812236944,0.4470774091627172
0.2376,0.27016753595700965,0.45495495495495497
0.2475,0.2740261747404513,0.4578651685393258
0.2574,0.27503865730300886,0.4558823529411765
0.2673,0.2814644963060789,0.461441213653603
0.2772,0.2880117849124341,0.46975088967971534
0.2871,0.29282001218314724,0.47576099210823
0.297,0.2960358986015693,0.4759871931696905
0.3069,0.30040082138959195,0.47874493927125505
0.3168,0.2995661652230347,0.47454370797310275
0.3267,0.3063635215359353,0.4798534798534798
0.3366,0.312993490873072,0.49040139616055844
0.3465,0.3179529072985088,0.4970906068162926
0.3564,0.32482855437379027,0.5035799522673031
0.3663,0.32906916242829454,0.5072908672294705
0.3762,0.33290622161113703,0.5081360946745562
0.3861,0.3408654236266475,0.5160142348754448
0.396,0.3475425065216633,0.5217091660923501
0.4059,0.3516411335906132,0.5248508946322068
0.4158,0.35904541955350266,0.5333333333333333
0.4257,0.36290584415584415,0.5367965367965368
0.4356,0.36735201278204277,0.5414925373134328
0.4455,0.371447011442742,0.5441431044431622
0.4554,0.37665349901727524,0.5491071428571428
0.4653,0.38173834875742085,0.5547128927410618
0.4752,0.3874676452859625,0.5595991561181435
0.4851,0.3926828646692072,0.5625321667524447
0.495,0.3961076395628021,0.5631895687061184
0.5049,0.399914924647545,0.5658726300437531
0.5148,0.40311334249572267,0.5689329556185081
0.5247,0.4071069508798904,0.5729357798165138
0.5346,0.4126956439208739,0.5800536672629696
0.5445,0.41734104310197384,0.5850785340314136
0.5544,0.4217311692496997,0.5904842820730671
0.5643,0.4255210745715609,0.5946953999171156
0.5742,0.4321497642665526,0.6017842660178427
0.5841,0.43684284770335025,0.6065768621236134
0.594,0.4407507561785873,0.6117783804726851
0.6039,0.444952262478203,0.6145081655905811
0.6138,0.45050894348730597,0.6196501674730182
0.6237,0.45480497685632015,0.6234050309879694
0.6336,0.45815206851971557,0.6264285714285714
0.6435,0.4619530125545608,0.6288515406162465
0.6534,0.4649556839024901,0.6316512186749056
0.6633,0.46942284349433566,0.6358732299393122
0.6732,0.47337037919463354,0.6396307286515002
0.6831,0.476294397487414,0.6430649854510184
0.693,0.4795795019873514,0.6470402025957582
0.7029,0.4834217990225948,0.649221183800623
0.7128,0.48715682295267027,0.6517747858017136
0.7227,0.4909085947956353,0.6546329723225031
0.7326,0.49483244428504086,0.6570076877587226
0.7425,0.4988887694304883,0.6607609642753413
0.7524,0.501968944397976,0.6619959965684873
0.7623,0.5043017159429941,0.6633858267716535
0.7722,0.5078362933052466,0.6665745856353591
0.7821,0.511267072799181,0.6690255851932498
0.792,0.5153672952434563,0.6737967914438503
0.8019,0.5186718403854761,0.6762457157922489
0.8118,0.5223671411859038,0.6783489096573209
0.8217,0.5264912871318873,0.6819923371647509
0.8316,0.5292459654127484,0.6838660961490057
0.8415,0.5331520155277834,0.6866004962779156
0.8514,0.535044724454093,0.6874236874236874
0.8613,0.5379423710045006,0.6894394996391628
0.8712,0.5409149655162955,0.691852202747513
0.8811,0.5442932329919734,0.6943599344722677
0.891,0.5471193298920339,0.6964244521337947
0.9009,0.5500227815144283,0.6990909090909091
0.9108,0.5532120469628149,0.7009199012788871
0.9207,0.5560261329740809,0.7024573832189507
0.9306,0.558100656679962,0.7040749618653301
0.9405,0.5615399748990875,0.7070967741935483
0.9504,0.5646077736637909,0.7091489361702128
0.9603,0.567806777339739,0.7116152068893089
0.9702,0.570856192431535,0.7139892071398921
0.9801,0.5738418439051813,0.7154871794871795
0.99,0.5770498017505441,0.7180214879383742
1.0,0.5804,0.7216
