metric,cost,coverage,risk
standard,0.0,0.0,1.0
standard,0.0125,0.0006131207919679582,0.0
standard,0.025,0.0006131207919679582,0.0
standard,0.037500000000000006,0.0006131207919679582,0.0
standard,0.05,0.0006131207919679582,0.0
standard,0.0625,0.0006131207919679582,0.0
standard,0.07500000000000001,0.0006131207919679582,0.0
standard,0.08750000000000001,0.23727774620056152,0.020671844482421875
standard,0.1,0.23727774620056152,0.020671844482421875
standard,0.1125,0.23727774620056152,0.020671844482421875
standard,0.125,0.23727774620056152,0.020671844482421875
standard,0.1375,0.23727774620056152,0.020671844482421875
standard,0.15000000000000002,0.23727774620056152,0.020671844482421875
standard,0.1625,0.23727774620056152,0.020671844482421875
standard,0.17500000000000002,0.26241570711135864,0.030373811721801758
standard,0.1875,0.26241570711135864,0.030373811721801758
standard,0.2,0.26241570711135864,0.030373811721801758
standard,0.21250000000000002,0.31453096866607666,0.0350877046585083
standard,0.225,0.31453096866607666,0.0350877046585083
standard,0.23750000000000002,0.31453096866607666,0.0350877046585083
standard,0.25,0.36541998386383057,0.04697984457015991
standard,0.2625,0.36541998386383057,0.04697984457015991
standard,0.275,0.36541998386383057,0.04697984457015991
standard,0.28750000000000003,0.36541998386383057,0.04697984457015991
standard,0.30000000000000004,0.36541998386383057,0.04697984457015991
standard,0.3125,0.36541998386383057,0.04697984457015991
standard,0.325,0.36541998386383057,0.04697984457015991
standard,0.3375,0.36541998386383057,0.04697984457015991
standard,0.35000000000000003,0.36541998386383057,0.04697984457015991
standard,0.36250000000000004,0.36541998386383057,0.04697984457015991
standard,0.375,0.36541998386383057,0.04697984457015991
standard,0.3875,0.36541998386383057,0.04697984457015991
standard,0.4,0.36541998386383057,0.04697984457015991
standard,0.41250000000000003,0.43347638845443726,0.07496464252471924
standard,0.42500000000000004,0.43347638845443726,0.07496464252471924
standard,0.4375,0.43347638845443726,0.07496464252471924
standard,0.45,0.5383200645446777,0.11503416299819946
standard,0.4625,0.5984058976173401,0.14651638269424438
standard,0.47500000000000003,0.5984058976173401,0.14651638269424438
standard,0.48750000000000004,0.5984058976173401,0.14651638269424438
standard,0.5,0.5984058976173401,0.14651638269424438
standard,0.5125000000000001,0.5984058976173401,0.14651638269424438
standard,0.525,0.995708167552948,0.35406404733657837
standard,0.5375,0.995708167552948,0.35406404733657837
standard,0.55,0.995708167552948,0.35406404733657837
standard,0.5625,0.995708167552948,0.35406404733657837
standard,0.5750000000000001,0.995708167552948,0.35406404733657837
standard,0.5875,0.995708167552948,0.35406404733657837
standard,0.6000000000000001,0.995708167552948,0.35406404733657837
standard,0.6125,0.995708167552948,0.35406404733657837
standard,0.625,0.995708167552948,0.35406404733657837
standard,0.6375000000000001,0.995708167552948,0.35406404733657837
standard,0.65,1.0,0.35683631896972656
standard,0.6625000000000001,1.0,0.35683631896972656
standard,0.675,1.0,0.35683631896972656
standard,0.6875,1.0,0.35683631896972656
standard,0.7000000000000001,1.0,0.35683631896972656
standard,0.7125,1.0,0.35683631896972656
standard,0.7250000000000001,1.0,0.35683631896972656
standard,0.7375,1.0,0.35683631896972656
standard,0.75,1.0,0.35683631896972656
standard,0.7625000000000001,1.0,0.35683631896972656
standard,0.775,1.0,0.35683631896972656
standard,0.7875000000000001,1.0,0.35683631896972656
standard,0.8,1.0,0.35683631896972656
standard,0.8125,1.0,0.35683631896972656
standard,0.8250000000000001,1.0,0.35683631896972656
standard,0.8375,1.0,0.35683631896972656
standard,0.8500000000000001,1.0,0.35683631896972656
standard,0.8625,1.0,0.35683631896972656
standard,0.875,1.0,0.35683631896972656
standard,0.8875000000000001,1.0,0.35683631896972656
standard,0.9,1.0,0.35683631896972656
standard,0.9125000000000001,1.0,0.35683631896972656
standard,0.925,1.0,0.35683631896972656
standard,0.9375,1.0,0.35683631896972656
standard,0.9500000000000001,1.0,0.35683631896972656
standard,0.9625,1.0,0.35683631896972656
standard,0.9750000000000001,1.0,0.35683631896972656
standard,0.9875,1.0,0.35683631896972656
standard,1.0,1.0,0.35683631896972656
balanced,0.0,0.16186389327049255,0.011583000421524048
balanced,0.0125,0.16186389327049255,0.011583000421524048
balanced,0.025,0.23727774620056152,0.010471194982528687
balanced,0.037500000000000006,0.23727774620056152,0.010471194982528687
balanced,0.05,0.23727774620056152,0.010471194982528687
balanced,0.0625,0.23727774620056152,0.010471194982528687
balanced,0.07500000000000001,0.23727774620056152,0.010471194982528687
balanced,0.08750000000000001,0.23727774620056152,0.010471194982528687
balanced,0.1,0.23727774620056152,0.010471194982528687
balanced,0.1125,0.23727774620056152,0.010471194982528687
balanced,0.125,0.23727774620056152,0.010471194982528687
balanced,0.1375,0.23727774620056152,0.010471194982528687
balanced,0.15000000000000002,0.23727774620056152,0.010471194982528687
balanced,0.1625,0.23727774620056152,0.010471194982528687
balanced,0.17500000000000002,0.23727774620056152,0.010471194982528687
balanced,0.1875,0.23727774620056152,0.010471194982528687
balanced,0.2,0.23727774620056152,0.010471194982528687
balanced,0.21250000000000002,0.23727774620056152,0.010471194982528687
