coverage,balanced_error,worst_error
0.0099,0.005208333333333315,0.01041666666666663
0.0198,0.05531914893617018,0.09999999999999998
0.0297,0.09730871886120995,0.1875
0.0396,0.09029409001221461,0.1724137931034483
0.0495,0.12181004321876926,0.2325581395348837
0.0594,0.12190448113207547,0.234375
0.0693,0.13990716966225558,0.2650602409638554
0.0792,0.1473079036735384,0.2815533980582524
0.0891,0.1540149393090569,0.2936507936507936
0.099,0.16849392086583737,0.3202614379084967
0.1089,0.178967426830622,0.3370786516853933
0.1188,0.2015726649906926,0.37850467289719625
0.1287,0.20870826675637033,0.3913043478260869
0.1386,0.21247161881451182,0.39145907473309605
0.1485,0.21953601953601953,0.4031746031746032
0.1584,0.22722614647000694,0.4129213483146067
0.1683,0.23396692248200374,0.42307692307692313
0.1782,0.24338275767166645,0.4372093023255814
0.1881,0.2423154491032536,0.4288793103448276
0.198,0.24610433604336046,0.4305555555555556
0.2079,0.2506684346673043,0.43389199255121047
0.2178,0.2550821247985174,0.4402079722703639
0.2277,0.25963812677388837,0.4464285714285714
0.2376,0.2641530543745805,0.45107033639143734
0.2475,0.268231625755554,0.45863570391872277
0.2574,0.27374869669414204,0.4638472032742156
0.2673,0.2796258783097114,0.4694408322496749
0.2772,0.27996941896024463,0.4666666666666667
0.2871,0.28553219644518707,0.47374562427071176
0.297,0.28913289616455157,0.4767184035476718
0.3069,0.2948292144660716,0.48682824025289784
0.3168,0.3001796219166444,0.4929859719438878
0.3267,0.3056695205848735,0.49808061420345484
0.3366,0.31165613190679153,0.5045787545787546
0.3465,0.31706533987339675,0.5096153846153846
0.3564,0.324919627749577,0.5216666666666667
0.3663,0.3321822345170812,0.5314741035856574
0.3762,0.33792954605405146,0.5401069518716577
0.3861,0.34309770726465183,0.5423105224429727
0.396,0.3478145818717592,0.5470756062767475
0.4059,0.3495763852597907,0.5470790378006873
0.4158,0.35300677200902936,0.548
0.4257,0.35706233421750666,0.5532051282051282
0.4356,0.36080942325378085,0.5561066336019839
0.4455,0.36375560477344715,0.5581534772182255
0.4554,0.3659597030752916,0.5594202898550724
0.4653,0.36956077558267336,0.5608108108108107
0.4752,0.3744672543457081,0.5662125340599455
0.4851,0.3762833096273621,0.5675818373812038
0.495,0.38093690550190235,0.5704766786263455
0.5049,0.38530279105307896,0.5726410384423365
0.5148,0.3906526272089973,0.5777453838678328
0.5247,0.39553394776199363,0.5814832309872461
0.5346,0.399532624472466,0.5842178126442086
0.5445,0.4040482731028572,0.5895020188425303
0.5544,0.4091705296844483,0.5947252747252747
0.5643,0.4117217357312223,0.5967325881341359
0.5742,0.4151974115047566,0.5995798319327731
0.5841,0.41946210658044164,0.6042692939244663
0.594,0.4235540976876246,0.6068993180906539
0.6039,0.4278244835074183,0.6118935837245696
0.6138,0.4310301791962971,0.6146230007616147
0.6237,0.43383479501267963,0.6183035714285714
0.6336,0.4382513939538328,0.6226759022967554
0.6435,0.44121855275015903,0.6256245538900785
0.6534,0.445231573534714,0.6302228412256268
0.6633,0.4478784682313409,0.6319018404907976
0.6732,0.45207219251336894,0.6370320855614973
0.6831,0.45642581457347514,0.640604467805519
0.693,0.45926238541503867,0.643041237113402
0.7029,0.46365781199672346,0.6475228778794573
0.7128,0.46693358406389185,0.6501701206309929
0.7227,0.46968705301228036,0.653296870252203
0.7326,0.47349333916361264,0.6563153180053747
0.7425,0.47748355358808087,0.6595182138660399
0.7524,0.48053673263719116,0.6614673599075679
0.7623,0.48362118851978325,0.6637318943481965
0.7722,0.48646308360184826,0.6657350475125768
0.7821,0.4899609957132081,0.6692307692307693
0.792,0.4939557638940599,0.6734968994338096
0.8019,0.49771112279708213,0.6762132060461417
0.8118,0.50105170625277,0.6787389265242314
0.8217,0.5045773960639544,0.6814567837907155
0.8316,0.5088459543857176,0.6849696356275303
0.8415,0.511914694894147,0.687920298879203
0.8514,0.5153130405132584,0.6903827281648676
0.8613,0.5186415595019391,0.6929951690821257
0.8712,0.5223746429858916,0.6964795432921027
0.8811,0.5251159595253603,0.6989222118088098
0.891,0.5289723867221438,0.7014097527155072
0.9009,0.5321307106248496,0.7035347776510832
0.9108,0.53548207391493,0.7057895922505069
0.9207,0.5387689891330159,0.7085460599334072
0.9306,0.5415270683798393,0.7108776537535566
0.9405,0.5444324054589588,0.7125567322239033
0.9504,0.5471351721966105,0.7135849861377692
0.9603,0.5497281334388929,0.7151578947368421
0.9702,0.5531701166307136,0.7179966749792186
0.9801,0.555697367188232,0.7202051282051283
0.99,0.5589192485274228,0.7232449929192798
1.0,0.5624,0.7256
