coverage,balanced_error,worst_error
0.0099,0.015873015873015872,0.031746031746031744
0.0198,0.018829113924050622,0.025000000000000022
0.0297,0.014853628962411214,0.021739130434782594
0.0396,0.0505252100840336,0.0892857142857143
0.0495,0.07108593590528678,0.13043478260869568
0.0594,0.10225638365595452,0.19277108433734935
0.0693,0.11461132676420821,0.21568627450980393
0.0792,0.13169642857142855,0.25
0.0891,0.1406980772561926,0.2681159420289855
0.099,0.16244315694987427,0.3067484662576687
0.1089,0.18041645155739117,0.3384615384615385
0.1188,0.20000735929939473,0.3761061946902655
0.1287,0.21315025134984178,0.39312977099236646
0.1386,0.21157458563535914,0.39
0.1485,0.2132249436936937,0.3873873873873874
0.1584,0.22934649537417284,0.4182305630026809
0.1683,0.2378077519973943,0.4292682926829269
0.1782,0.24134111740677744,0.43115124153498874
0.1881,0.24312985555194522,0.42680412371134024
0.198,0.24353913526182697,0.4225621414913958
0.2079,0.25027530657813213,0.43185840707964607
0.2178,0.2544316859345605,0.4359400998336106
0.2277,0.2588228341462852,0.43917851500789884
0.2376,0.2641132617587269,0.4436201780415431
0.2475,0.26641382139836084,0.44228094575799726
0.2574,0.27105955858956926,0.44764397905759157
0.2673,0.27701575146250335,0.4525277435265105
0.2772,0.278547816875343,0.45296167247386765
0.2871,0.285489989923721,0.46145374449339205
0.297,0.29124917777786974,0.4678423236514523
0.3069,0.29418978133140083,0.46719681908548705
0.3168,0.29752694139128566,0.46886792452830184
0.3267,0.30143657833161014,0.47058823529411764
0.3366,0.3089385760969978,0.48058671268334774
0.3465,0.31283127572016456,0.4847736625514403
0.3564,0.31652015849811493,0.4897476340694006
0.3663,0.32365413779215013,0.49392097264437695
0.3762,0.32917466528148037,0.5003668378576669
0.3861,0.33439154615212746,0.504231311706629
0.396,0.338141557738012,0.5074728260869565
0.4059,0.3470611494894517,0.518954248366013
0.4158,0.35377068793325345,0.5237492083597213
0.4257,0.3592409779572575,0.5284056200366525
0.4356,0.36258810760496524,0.5313981042654028
0.4455,0.3665524333472251,0.5354691075514875
0.4554,0.3714515548380091,0.5412285556170449
0.4653,0.3770078302490749,0.5455035002692514
0.4752,0.38135233394368817,0.5482180293501049
0.4851,0.3870427385694561,0.5526717557251908
0.495,0.389962326267263,0.5522018802572983
0.5049,0.39420638986284584,0.5569437770302739
0.5148,0.39883284001931274,0.5611814345991561
0.5247,0.404393413317749,0.5684210526315789
0.5346,0.41005784604980317,0.5746201966041108
0.5445,0.4136137416188567,0.5782608695652174
0.5544,0.4173511157639642,0.5833686890114552
0.5643,0.4220378410915443,0.5879668049792531
0.5742,0.426149750154299,0.5940274414850686
0.5841,0.4308598156276074,0.5985776372975109
0.594,0.4335443913628773,0.6005413766434649
0.6039,0.43941961406373753,0.6071833648393195
0.6138,0.44470332401366885,0.6121616611049314
0.6237,0.4483083339674822,0.6148820326678766
0.6336,0.4527246504361096,0.6195729537366548
0.6435,0.4569990996684965,0.6236033519553073
0.6534,0.46097644332560894,0.6281613123718387
0.6633,0.4652002676150025,0.6321260898725687
0.6732,0.46927255619956326,0.6356461690233476
0.6831,0.4733123363012529,0.639508567733592
0.693,0.4766657992814693,0.6427215189873418
0.7029,0.4800644364561172,0.6465116279069767
0.7128,0.48335060981285555,0.6494060310691441
0.7227,0.48558409584871937,0.6513020053876085
0.7326,0.4886647860428262,0.6527369040612125
0.7425,0.49233893095617015,0.6560417270356418
0.7524,0.495177544417242,0.659265584970111
0.7623,0.4990981148734887,0.662559507140857
0.7722,0.5026326028887478,0.6649229074889869
0.7821,0.506367243187869,0.6667571971754481
0.792,0.5107778799634792,0.6699652313452795
0.8019,0.5137608550017527,0.67254540668597
0.8118,0.5173115697372468,0.6754863813229572
0.8217,0.5206120295211892,0.6781785622921463
0.8316,0.5237500358612599,0.680181314530345
0.8415,0.5270921339667431,0.6833746898263027
0.8514,0.5300033360068551,0.6851761252446185
0.8613,0.5332296494597181,0.6884023099133783
0.8712,0.5356461467249899,0.690414201183432
0.8811,0.5383567407908552,0.691588785046729
0.891,0.542077963501522,0.6942587041733917
0.9009,0.5448271330303166,0.6957214383249886
0.9108,0.5482866489958689,0.6987654320987654
0.9207,0.5510627568633548,0.7009738822487827
0.9306,0.553892163283126,0.7033398821218075
0.9405,0.556656541709883,0.7058823529411764
0.9504,0.5603524577152785,0.7084752981260647
0.9603,0.5625625920471281,0.7098674521354933
0.9702,0.5661887120758589,0.7130687720756286
0.9801,0.5691277190642315,0.7149599835830085
0.99,0.5720414332012413,0.7179591010325976
1.0,0.5757000000000001,0.7214
